,Date,Open,Adj Close,Predicted_Label
76,2022-08-08,142.0500030517578,139.41000366210938,0
187,2022-08-09,138.0500030517578,137.8300018310547,0
295,2022-08-26,136.5500030517578,130.75,0
284,2022-09-01,126.0,127.81999969482422,1
328,2022-09-06,127.91999816894533,126.11000061035156,0
309,2022-09-26,113.3000030517578,115.1500015258789,1
7,2022-10-06,120.7699966430664,120.3000030517578,0
181,2022-10-07,118.0,114.55999755859376,0
19,2022-10-10,115.0999984741211,113.66999816894533,0
94,2022-10-21,114.79000091552734,119.31999969482422,1
56,2022-10-28,97.91000366210938,103.41000366210938,1
183,2022-11-04,91.48999786376952,90.9800033569336,0
160,2022-11-11,97.87999725341795,100.79000091552734,1
227,2022-11-18,95.9499969482422,94.13999938964844,0
186,2022-11-22,92.62000274658205,93.1999969482422,1
271,2022-11-30,92.47000122070312,96.54000091552734,1
28,2022-12-02,94.4800033569336,94.12999725341795,0
257,2022-12-20,85.33000183105469,85.19000244140625,1
203,2022-12-22,85.5199966430664,83.79000091552734,0
223,2023-01-06,83.02999877929688,86.08000183105469,1
84,2023-01-24,96.93000030517578,96.31999969482422,0
43,2023-02-01,102.52999877929688,105.1500015258789,1
188,2023-02-14,98.41000366210938,99.6999969482422,1
184,2023-02-15,99.08999633789062,101.16000366210938,1
105,2023-03-17,99.79000091552734,98.9499969482422,0
120,2023-03-24,98.06999969482422,98.12999725341795,1
38,2023-04-12,100.4000015258789,97.83000183105467,0
303,2023-04-17,103.16000366210938,102.73999786376952,0
278,2023-04-26,105.04000091552734,104.9800033569336,1
207,2023-05-08,105.04000091552734,105.83000183105467,1
306,2023-06-02,124.91999816894533,124.25,0
37,2023-06-13,128.1199951171875,126.66000366210938,0
233,2023-06-16,127.70999908447266,125.48999786376952,0
97,2023-06-23,129.11000061035156,129.3300018310547,1
219,2023-06-28,128.94000244140625,129.0399932861328,1
308,2023-06-29,128.77000427246094,127.9000015258789,1
199,2023-07-05,130.24000549316406,130.3800048828125,1
1,2023-07-18,132.7100067138672,132.8300018310547,1
198,2023-07-19,133.38999938964844,135.36000061035156,1
144,2023-07-26,126.51000213623048,128.14999389648438,1
176,2023-07-28,129.69000244140625,132.2100067138672,1
333,2023-08-01,133.5500030517578,131.69000244140625,0
73,2023-08-03,127.4800033569336,128.91000366210938,1
265,2023-08-10,139.07000732421875,138.55999755859375,0
71,2023-08-21,133.74000549316406,134.67999267578125,1
327,2023-09-11,138.75,143.10000610351562,1
131,2023-09-13,140.9499969482422,144.85000610351562,1
126,2023-09-14,145.0800018310547,144.72000122070312,1
172,2023-09-15,142.69000244140625,140.38999938964844,0
65,2023-09-22,131.11000061035156,129.1199951171875,0
92,2023-10-06,124.16000366210938,127.95999908447266,1
107,2023-10-10,128.82000732421875,129.47999572753906,1
194,2023-10-18,129.89999389648438,128.1300048828125,0
246,2023-11-27,147.52999877929688,147.72999572753906,1
95,2023-11-30,144.75999450683594,146.08999633789062,1
